iter	prior	likelihood	posterior	prior_A	|A|	#indels	|indels|	#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/#indels	P1/|indels|	P1/#substs	Scale[1]*|T|	|T|	rs07:log_rate	rs07:mean_length	Rates.gamma:alpha	hky85:kappa	hky85:pi[A]	hky85:pi[C]	hky85:pi[G]	hky85:pi[T]	scale[1]	scale1
35	-65.491805239353582	-3813.765279052856840	-3879.257084292210493	-2.545160417632410	1140	0	0	575	-3813.765279052856840	-2.545160417632410	1140	0	0	575	0.833789984285636	1.580795213973063	-11.063504423771837	12.369116541679501	0.26050023003733175	20.407895199918332	0.28442777785462536	0.31145332933137093	0.13395832014964396	0.2701605726643597	0.527449714495305	0.527449714495305
36	-52.205539583929053	-3820.879400556943892	-3873.084940140872732	-8.002769178222358	1140	0	0	577	-3820.879400556943892	-8.002769178222358	1140	0	0	577	0.795190165063284	0.942052562477824	-5.821059565466838	13.899554452076659	0.24481556036580673	18.613308116377492	0.2883844169484104	0.29973695041345394	0.13667979149358825	0.27519884114454746	0.844103818338696	0.844103818338696
37	-41.419262927290646	-3820.186571454917157	-3861.605834382207831	-2.415993476508449	1140	0	0	575	-3820.186571454917157	-2.415993476508449	1140	0	0	575	0.813484569695992	0.483229061760855	-7.4196890217081855	3.6800918707166783	0.234316451840076	18.22994508481474	0.28492954234443263	0.3015651021067201	0.14160342447099203	0.2719019310778551	1.6834346980947466	1.6834346980947466
38	-64.503776618539462	-3812.235138727014601	-3876.738915345554233	-1.870641493517144	1140	0	0	575	-3812.235138727014601	-1.870641493517144	1140	0	0	575	0.789185677322293	2.038831375254424	-8.178527026499687	3.9154992738104126	0.23018242568986844	20.979913521042064	0.28209718206741885	0.2985673749875428	0.1501363703440247	0.2691990726010135	0.38707746354149164	0.38707746354149164
39	-62.973878379571268	-3818.530548728251233	-3881.504427107822721	-3.468603700494203	1140	0	0	577	-3818.530548728251233	-3.468603700494203	1140	0	0	577	0.810674119016129	1.726684395072509	-6.7849130453807165	3.9604553025311597	0.2538974305843845	21.4531023521023	0.28209718206741885	0.2985673749875428	0.1501363703440247	0.2691990726010135	0.4694975650035259	0.4694975650035259
40	-46.038446727367784	-3811.682020449506126	-3857.720467176874081	-2.135510200274835	1140	0	0	575	-3811.682020449506126	-2.135510200274835	1140	0	0	575	0.841692577733037	0.637063623751320	-7.604470436052656	3.248894400404891	0.2537202277871903	20.248391463329995	0.28409798929621666	0.28816163425191604	0.15120123009515113	0.2765391463567162	1.3212064640840246	1.3212064640840246
41	-47.928178023309876	-3810.359696374930536	-3858.287874398240547	-1.229032791882087	1140	0	0	575	-3810.359696374930536	-1.229032791882087	1140	0	0	575	0.845581730813631	0.379504304752596	-7.858658625561047	1.621941818061726	0.2921196037100374	24.223416791885768	0.27060885031167914	0.2935912213690333	0.1540501876017539	0.28174974071753384	2.2281215791870315	2.2281215791870315
42	-46.458496215971536	-3836.970993934548460	-3883.429490150519996	-2.645703793358088	1140	0	0	577	-3836.970993934548460	-2.645703793358088	1140	0	0	577	0.739845496232046	1.372122055502268	-7.425181309704868	5.147074812788392	0.3067881189378486	15.542856175722372	0.2811990798318885	0.29293038588405246	0.1600789144614071	0.26579161982265187	0.5391980205151823	0.5391980205151823
43	-36.692762224316979	-3828.036570304546785	-3864.729332528863779	-2.792016281579595	1140	0	0	577	-3828.036570304546785	-2.792016281579595	1140	0	0	577	0.666962055906725	0.461432054293757	-7.2432094839583705	5.488822580023547	0.23282395861797936	15.868861293460162	0.2812917909975523	0.2930269648541895	0.15062912003706236	0.27505212411119573	1.4454176941121737	1.4454176941121737
44	-53.496901486843797	-3810.179864313940470	-3863.676765800784324	-3.610079234110692	1140	0	0	577	-3810.179864313940470	-3.610079234110692	1140	0	0	577	0.876727633374993	0.834971856594994	-6.958185363040414	5.512204865165667	0.24101658209149515	21.966359498477104	0.2867971537747442	0.29923765402306296	0.13352982629606505	0.28043536590612783	1.0500086038232221	1.0500086038232221
